Mon Aug 22 12:09:43 2022    output.dat

         3616120 function calls (3588083 primitive calls) in 120.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
382379/382364    0.046    0.000    0.046    0.000 {built-in method builtins.len}
   243364    0.047    0.000    0.063    0.000 {built-in method builtins.isinstance}
   200768    0.056    0.000    0.056    0.000 {built-in method numpy.asarray}
165238/147986    0.187    0.000    0.799    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   116958    0.051    0.000    0.123    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:291(nnz)
   112193    0.020    0.000    0.020    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:119(get_shape)
   103930    0.048    0.000    0.048    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:108(getnnz)
   103048    0.150    0.000    0.150    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:648(__init__)
    96213    0.063    0.000    0.167    0.000 <__array_function__ internals>:177(can_cast)
    96213    0.012    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:498(can_cast)
    73872    0.025    0.000    0.033    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:290(<genexpr>)
    73872    0.011    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:295(<genexpr>)
    67966    0.017    0.000    0.017    0.000 {built-in method _operator.index}
    62230    0.054    0.000    0.054    0.000 {built-in method numpy.array}
    51524    0.032    0.000    0.032    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:659(min)
    51524    0.018    0.000    0.018    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:672(max)
    51524    0.228    0.000    0.618    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:131(get_index_dtype)
    48990    0.011    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csc.py:230(_swap)
    45148    0.029    0.000    0.029    0.000 {built-in method numpy.empty}
    42934    0.023    0.000    0.023    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/_lib/_util.py:142(_prune_array)
    39628    0.005    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csr.py:231(_swap)
    33772    0.010    0.000    0.017    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:1291(isspmatrix)
    31401    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    31105    0.014    0.000    0.014    0.000 {built-in method builtins.iter}
    30724    0.008    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_data.py:23(_get_dtype)
    29678    0.015    0.000    0.015    0.000 {built-in method builtins.max}
    27200    0.005    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/einsumfunc.py:1001(_einsum_dispatcher)
    26522    0.023    0.000    0.023    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    24816    0.018    0.000    0.029    0.000 {built-in method builtins.any}
    24662    0.085    0.000    0.157    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:277(check_shape)
    23247    0.022    0.000    0.043    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:91(to_native)
    23247    0.015    0.000    0.015    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
    23172    0.013    0.000    0.032    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_data.py:20(__init__)
    23172    0.019    0.000    0.019    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:105(__init__)
    21467    0.105    0.000    0.219    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1168(prune)
    21393    0.060    0.000    0.073    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:220(isshape)
    21372    0.316    0.000    0.847    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:136(check_format)
21295/18159    0.134    0.000    1.864    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:26(__init__)
    20902    0.015    0.000    0.018    0.000 {built-in method builtins.getattr}
    20832    0.127    0.000    0.127    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    19878    0.009    0.000    0.009    0.000 {method 'rpartition' of 'str' objects}
    19878    0.018    0.000    0.026    0.000 <frozen importlib._bootstrap>:389(parent)
    18085    0.720    0.000    0.720    0.000 {built-in method numpy.zeros}
17330/11630    0.015    0.000    0.022    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:361(_first_element_bool)
    17312    0.005    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    17255   29.986    0.002   30.115    0.002 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/accumulation_operations.py:5(diag_mult)
    16688    0.014    0.000    0.014    0.000 {method 'astype' of 'numpy.ndarray' objects}
    15659    0.002    0.000    0.002    0.000 {built-in method builtins.next}
    15267    0.009    0.000    0.046    0.000 <__array_function__ internals>:177(ndim)
    15267    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3117(_ndim_dispatcher)
