Mon Aug 22 12:09:43 2022    output.dat

         3616120 function calls (3588083 primitive calls) in 120.899 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19   80.038    4.213  119.961    6.314 Instructions_DERIVATIVESwing_dgammaw_dt,wing_dwake_coords_dt-->wing_gamma_w,wing_wake_coords,u,v,w,p,q,r,theta,psi,gamma,psiw,wing:15(<module>)
    17255   29.986    0.002   30.115    0.002 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/accumulation_operations.py:5(diag_mult)
     3914    5.606    0.001    5.606    0.001 {built-in method scipy.sparse._sparsetools.csr_matvecs}
    18085    0.720    0.000    0.720    0.000 {built-in method numpy.zeros}
     5849    0.390    0.000    0.390    0.000 {built-in method scipy.sparse._sparsetools.csr_todense}
    21372    0.316    0.000    0.847    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:136(check_format)
    51524    0.228    0.000    0.618    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:131(get_index_dtype)
165238/147986    0.187    0.000    0.799    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   103048    0.150    0.000    0.150    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:648(__init__)
     5440    0.146    0.000    0.146    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
21295/18159    0.134    0.000    1.864    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:26(__init__)
    20832    0.127    0.000    0.127    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1898    0.112    0.000    0.211    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1485(cross)
    21467    0.105    0.000    0.219    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1168(prune)
     5700    0.094    0.000    0.522    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:688(_major_index_fancy)
    24662    0.085    0.000    0.157    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:277(check_shape)
      266    0.081    0.000    0.372    0.001 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/cross.py:107(compute_cross_jac)
      192    0.078    0.000    0.079    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:340(_broadcast_to)
    96213    0.063    0.000    0.167    0.000 <__array_function__ internals>:177(can_cast)
    21393    0.060    0.000    0.073    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:220(isshape)
   200768    0.056    0.000    0.056    0.000 {built-in method numpy.asarray}
     5700    0.055    0.000    0.055    0.000 {method 'solve' of 'SuperLU' objects}
    62230    0.054    0.000    0.054    0.000 {built-in method numpy.array}
     1912    0.052    0.000    0.052    0.000 {built-in method scipy.sparse._sparsetools.coo_tocsr}
   116958    0.051    0.000    0.123    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:291(nnz)
   103930    0.048    0.000    0.048    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:108(getnnz)
   243364    0.047    0.000    0.063    0.000 {built-in method builtins.isinstance}
       58    0.046    0.001    1.547    0.027 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/linalg/_dsolve/linsolve.py:91(spsolve)
382379/382364    0.046    0.000    0.046    0.000 {built-in method builtins.len}
     5862    0.045    0.000    0.512    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csc.py:132(tocsr)
      166    0.045    0.000    0.053    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/power_combination.py:55(get_partials)
     8176    0.041    0.000    0.041    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1875    0.040    0.000    0.113    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:265(_check)
    10388    0.039    0.000    0.054    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:83(_csr_container)
    51524    0.032    0.000    0.032    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:659(min)
     4066    0.030    0.000    6.369    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:493(_mul_multivector)
    45148    0.029    0.000    0.029    0.000 {built-in method numpy.empty}
     5815    0.028    0.000    0.085    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:267(_unpack_index)
    11426    0.026    0.000    0.038    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1347(normalize_axis_tuple)
    73872    0.025    0.000    0.033    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:290(<genexpr>)
     5713    0.025    0.000    0.077    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1410(moveaxis)
    15113    0.025    0.000    0.079    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:198(isintlike)
     5780    0.024    0.000    0.024    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
    42934    0.023    0.000    0.023    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/_lib/_util.py:142(_prune_array)
    12840    0.023    0.000    0.053    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1873(isscalar)
    26522    0.023    0.000    0.023    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    23247    0.022    0.000    0.043    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:91(to_native)
       91    0.021    0.000    0.021    0.000 {built-in method builtins.print}
     4028    0.021    0.000    0.460    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_csc.py:108(transpose)
     5811    0.021    0.000    0.918    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1048(toarray)
   112193    0.020    0.000    0.020    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:119(get_shape)
     60/1    0.020    0.000  121.042  121.042 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/simulator.py:206(run)
    12840    0.020    0.000    0.079    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:193(isscalarlike)
     3914    0.020    0.000    6.898    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:598(_rmul_dispatch)
     2008    0.020    0.000    0.020    0.000 {built-in method scipy.sparse._sparsetools.csr_has_canonical_format}
    13026    0.019    0.000    0.024    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:239(getnnz)
    23172    0.019    0.000    0.019    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:105(__init__)
     1414    0.018    0.000    0.278    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:330(tocsc)
    51524    0.018    0.000    0.018    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:672(max)
    24816    0.018    0.000    0.029    0.000 {built-in method builtins.any}
    19878    0.018    0.000    0.026    0.000 <frozen importlib._bootstrap>:389(parent)
